,name,address,lat,lng
332,홍콩반점0410,서울특별시 구로구 구로동로26길 125,37.4900948,126.8877232
333,빽다방,서울특별시 구로구 구로동로26길 125,error,error
334,역전우동0410,서울특별시 강서구 강서로 39,error,error
335,빽다방,서울특별시 강서구 강서로 48,error,error
336,빽다방,서울특별시 구로구 오리로 1149,error,error
337,백철판0410,서울특별시 동작구 만양로 108,error,error
338,홍콩반점0410,서울특별시 종로구 종로 344,error,error
339,빽다방,서울특별시 양천구 목동동로 293,error,error
340,역전우동0410,서울특별시 강서구 화곡로 160,error,error
341,역전우동0410,서울특별시 노원구 한글비석로 264,error,error
342,빽다방,서울특별시 영등포구 당산로 113,error,error
343,빽다방,서울특별시 양천구 공항대로 564,error,error
344,빽다방,서울특별시 영등포구 양평로 28-1,error,error
345,빽다방,서울특별시 송파구 법원로11길 11,error,error
346,빽다방,서울특별시 구로구 디지털로32길 79,error,error
347,역전우동0410,서울특별시 구로구 디지털로32길 79,error,error
348,홍콩반점0410,서울특별시 금천구 시흥대로62길 18,error,error
349,홍콩반점0410,서울특별시 광진구 아차산로51길 11,37.5396332,127.084892
350,홍콩반점0410,서울특별시 구로구 시흥대로 557,error,error
351,홍콩반점0410,서울특별시 서초구 서초대로54길 32,37.4930373,127.0168302
352,홍콩반점0410,서울특별시 관악구 관악로 152,error,error
353,홍콩반점0410,서울특별시 성북구 인촌로24가길 6,error,error
354,홍콩반점0410,서울특별시 동대문구 경희대로 12-1,37.5926082,127.0525222
355,홍콩반점0410,서울특별시 광진구 아차산로 221,error,error
356,홍콩반점0410,서울특별시 강남구 테헤란로4길 27,error,error
357,홍콩반점0410,서울특별시 중구 장충단로13길 11,error,error
358,홍콩반점0410,서울특별시 금천구 시흥대로 405,error,error
359,홍콩반점0410,서울특별시 종로구 대학로10길 16,error,error
360,홍콩반점0410,서울특별시 강남구 도곡로84길 6,error,error
361,홍콩반점0410,서울특별시 영등포구 양평로 70,error,error
362,홍콩반점0410,서울특별시 동작구 만양로 110,error,error
363,홍콩반점0410,서울특별시 강서구 강서로 33,error,error
364,홍콩반점0410,서울특별시 동작구 보라매로5가길 16,error,error
365,홍콩반점0410,서울특별시 중구 명동10길 7,error,error
366,홍콩반점0410,서울특별시 성북구 동소문로20나길 18,error,error
367,홍콩반점0410,서울특별시 서초구 반포대로28길 16,error,error
368,홍콩반점0410,서울특별시 서초구 사평대로52길 1,37.5034683,127.0221859
369,홍콩반점0410,서울특별시 관악구 과천대로 951,error,error
370,홍콩반점0410,서울특별시 서대문구 명물길 19,37.5587387,126.9379396
371,홍콩반점0410,서울특별시 강남구 강남대로152길 43,error,error
372,홍콩반점0410,서울특별시 관악구 남부순환로 1592,error,error
373,홍콩반점0410,서울특별시 관악구 호암로24길 66,error,error
374,홍콩반점0410,서울특별시 동작구 국사봉1길 25,error,error
375,홍콩반점0410,서울특별시 동대문구 휘경로 17,error,error
376,홍콩반점0410,서울특별시 은평구 통일로 855,error,error
377,홍콩반점0410,서울특별시 강남구 논현로171길 12,error,error
378,홍콩반점0410,서울특별시 동작구 흑석로 101-3,37.5045929,126.9502965
379,홍콩반점0410,서울특별시 동작구 동작대로27가길 38,error,error
380,홍콩반점0410,서울특별시 성동구 마조로 25,37.561828,127.0416161
381,홍콩반점0410,서울특별시 용산구 한남대로21길 20,37.5341971,127.006329
382,홍콩반점0410,서울특별시 강서구 화곡로 140,error,error
383,홍콩반점0410,서울특별시 마포구 와우산로23길 44,37.55479895,126.9236672
384,홍콩반점0410,서울특별시 송파구 송파대로28길 27,error,error
385,홍콩반점0410,서울특별시 영등포구 영중로2길 1,error,error
386,한신포차,서울특별시 강동구 진황도로 93,37.5344346,127.1399293
387,한신포차,서울특별시 광진구 자양로18길 25,37.5381339,127.0865345
388,한신포차,서울특별시 송파구 올림픽로32길 20,37.5130764,127.1103198
389,한신포차,서울특별시 종로구 대학로12길 13,37.58271895,127.0025383
390,한신포차,서울특별시 은평구 연서로29길 14-13,37.6203064,126.917492
391,한신포차,서울특별시 서대문구 연세로7안길 10,error,error
392,한신포차,서울특별시 성동구 마조로5길 12,error,error
393,한신포차,서울특별시 종로구 삼일대로17길 40,37.5691737,126.9857549
394,한신포차,서울특별시 마포구 잔다리로 13,37.55060805,126.9216211
395,원조쌈밥집,서울시 영등포구 영등포로36길 10,37.5190106,126.9035804
396,원조쌈밥집,서울특별시 양천구 목동서로 57,error,error
397,원조쌈밥집,서울특별시 강동구 고덕로38길 63,37.5527288,127.1426658
398,역전우동0410,서울특별시 동작구 노량진로16길 35,error,error
399,역전우동0410,서울특별시 광진구 아차산로 224,error,error
400,역전우동0410,서울특별시 서초구 신반포로 194,error,error
401,역전우동0410,서울특별시 강남구 테헤란로4길 46,error,error
402,역전우동0410,서울특별시 강북구 도봉로87길 13,error,error
403,역전우동0410,서울특별시 성북구 동소문로20길 29-18,37.5926857,127.0164689
404,역전우동0410,서울특별시 서초구 방배로 104,37.4843821,126.9957527
405,역전우동0410,서울특별시 동작구 사당로17길 3,error,error
406,역전우동0410,서울특별시 동대문구 회기로 186,error,error
407,역전우동0410,서울특별시 영등포구 경인로 871,37.5200082,126.9147546
408,역전우동0410,서울특별시 강남구 압구정로 156,error,error
409,역전우동0410,서울특별시 은평구 연서로 215-1,error,error
410,새마을식당,서울특별시 금천구 가산디지털1로 168,error,error
411,새마을식당,서울특별시 강남구 선릉로64길 19,error,error
412,새마을식당,서울특별시 노원구 노해로81길 12-20,37.6554281,127.0627368
413,새마을식당,서울특별시 강남구 삼성로104길 23,error,error
414,새마을식당,서울특별시 서초구 매헌로 34,error,error
415,새마을식당,서울특별시 중구 다산로 135,37.5507793,127.0076435
416,새마을식당,서울특별시 강남구 압구정로30길 17,error,error
417,새마을식당,서울특별시 서대문구 연세로2길 6,error,error
418,새마을식당,서울특별시 동작구 동작대로27다길 10,error,error
419,새마을식당,서울특별시 양천구 목동동로 260,37.5160858,126.8653486
420,새마을식당,서울특별시 강남구 테헤란로20길 19,error,error
421,새마을식당,서울특별시 송파구 백제고분로7길 45,error,error
422,새마을식당,서울특별시 마포구 어울마당로 144,37.55618295,126.9258187
423,빽다방,서울시 강북구 도봉로87길 48,37.6387273,127.0240166
424,빽다방,서울특별시 강동구 천호대로 1089,error,error
425,빽다방,서울시 강남구 삼성로85길 11,37.5038579,127.0548248
426,빽다방,서울시 강남구 테헤란로4길 46,37.4954802,127.0307131
427,빽다방,서울특별시 강남구 강남대로 396,error,error
428,빽다방,서울시 서초구 서초대로77길 37,37.5009711,127.025075
